,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number)
Run_91,40675.41259224902,22895.58065108298,293.1443402554454,41029.832908543896
Run_92,40675.41183766591,22895.581387148508,283.6407962290376,38996.05139801092
Run_93,30475.79760102811,32206.12032682369,216.3277715641635,36275.60659956985
Run_94,40675.41259289114,22895.580651019907,283.6369920152603,38996.04279677062
Run_95,150788.73665000885,4659.409989748516,650.6737701414451,85095.88265278659
Run_96,40675.41259289114,22895.580651019907,283.6369920152603,38996.04279677062
Run_97,0.0016166621600887411,3723.7332789007523,1066703.531010143,3650027.6267813914
Run_98,0.0016166621600887411,3723.7332789007523,1066703.531010143,3650027.6267813914
Run_99,0.0016166624626458147,3723.7333913226535,1066704.449196565,3650033.00114753
Run_100,0.0016166432995734596,3723.7256546646067,1030188.4430395266,3543633.69088355
Run_101,0.0016166598368774925,3723.7328290175506,1049680.082270929,3653948.0019466644
Run_102,0.0018164032648671574,4007.685510768358,934364.5874507905,3305020.441992965
Run_103,0.00142240662550617,3655.7731108345292,704010.9836979433,3097353.072312159
Run_104,0.0010123959122213457,3210.502349359294,53298680.98497286,140629545.54384157
Run_105,0.0009203498505110277,3185.8651917670236,26856290.31669877,81286161.59441699
Run_106,0.0009203067763717788,3185.8394597813813,26129390.14568583,79199138.23048148
Run_107,0.0009209284299005602,3186.1065454826307,28309169.963077478,86153716.6713192
Run_108,0.0009203554413411956,3185.8693121380547,27147262.563698933,81216574.5320662
Run_109,0.0008714253126589197,3161.293009308365,25929400.09884599,82084316.82343337
Run_110,0.0010535359219464306,3226.2000604515943,51228987.712833926,130752864.9754233
Run_111,0.0017449011571690526,4204.884547819098,621147.108330283,2840981.607692402
Run_112,0.0009203498505110277,3185.8651917670236,26856290.31669877,81286161.59441699
Run_113,0.0013144026971859504,3472.296249159435,635550260.5867224,4305042074.703019
Run_114,0.0013144026971859504,3472.296249159435,635550260.5867224,4305042074.703019
Run_115,0.001314430583429932,3472.304443563928,635550264.1554382,4305042097.663011
Run_116,0.0013140764925471948,3472.1994915542,635550214.961522,4305041778.875733
Run_117,0.0013145099317941878,3472.355420623627,638196092.7063186,4304301462.05404
Run_118,0.0013154099125761564,3472.5090387001837,644960055.6898756,4303490131.563062
Run_119,0.0013144026971859504,3472.296249159435,635550260.5867224,4305042074.703019
Run_120,0.1123755955964676,59694.83585128667,44769.731222471455,10221.221381649962
Run_121,0.11240258426695027,59705.03579085923,43213.76512325485,9736.604374461876
Run_122,0.1124025842335452,59705.03577442445,43212.80788808124,9733.52903003463
Run_123,0.11240258426723718,59705.03579102279,43220.97824201931,9759.806016677714
Run_124,0.1123942312981087,59701.94956760977,43730.86936403826,9892.615577797009
Run_125,0.1123838735980738,59697.8946553681,44266.179632897445,10042.561391244624
Run_126,0.11240258426695027,59705.03579085923,43213.76512325485,9736.604374461876
Run_127,0.0013152303104817886,3472.483741380872,647672682.7086233,4302729318.792265
Run_128,0.11240258426695027,59705.03579085923,43213.76512325485,9736.604374461876
Run_129,0.11261265568819781,59800.64836488478,21498.38295709824,6347.450321066642
Run_130,0.11261265568819781,59800.64836488478,21498.38295709824,6347.450321066642
Run_131,0.11261265568915135,59800.64836544028,21527.199180949607,6640.278387522287
Run_132,0.11261265568745715,59800.64836443853,21474.168369415584,6108.490595166884
Run_133,0.1126321969467647,59807.476269070015,19657.18212700336,6130.235728610852
Run_134,0.11216399410800731,59630.14618958088,50803.912353938154,12959.853912830717
Run_135,0.11254598484987331,59785.77264026946,22512.419149674453,7092.143207865216
Run_136,0.000993750405854178,3222.8831924941055,29530388.69176366,85158523.75816411
Run_137,0.0009057897919137782,3182.021361945084,38196819.18232606,145784904.36331108
Run_138,0.0009054442978069632,3181.903964868094,38191690.116818,145753887.2676892
Run_139,0.0009058427169342342,3182.0376496289823,38196833.91698101,145784962.0646323
Run_140,0.0009057449672025051,3181.996412632507,37043523.9083543,146039744.69206583
Run_141,0.0011405714386646304,3266.91693267653,56522024.18314657,137067483.75664684
Run_142,0.0008038511540084782,3140.412100119647,19640175.546972558,89688469.11004831
Run_143,0.11208692890026054,59610.34837545729,51884.09199089438,14333.75296237204
Run_144,0.0009057897919137782,3182.021361945084,38196819.18232606,145784904.36331108
Run_145,0.0009131692903592383,3182.652144956704,39986011.0681672,145435209.79665545
Run_146,0.0009131692903592383,3182.652144956704,39986011.0681672,145435209.79665545
Run_147,0.0009130909511283401,3182.6280284022687,39985995.83419468,145435152.62000433
Run_148,0.0009131612369916978,3182.649697217452,39986010.01356335,145435205.2083035
Run_149,0.0009131292976938795,3182.6305664380707,39021180.0890447,145653445.86269268
Run_150,0.0009762293982703776,3196.4984586938076,51917357.754247084,142300305.39869368
Run_151,0.000808063216945958,3140.7685614032675,20536247.61596679,89524210.44562086
Run_152,0.11216017055477671,59638.261749355086,48729.57289386859,13247.814005192467
Run_153,0.11254341506227589,59774.290338230916,27760.360626160105,7386.031235658964
Run_154,0.1125434150618969,59774.29033735589,27777.669048157233,7508.40857867605
Run_155,0.11254341507175344,59774.29034109125,27764.70030412565,7416.579731718486
Run_156,0.11256264712728815,59781.05136142683,26157.778591465554,7133.33120656779
Run_157,0.11223739711505872,59657.9821457164,47584.383825394565,12034.920645346487
Run_158,0.11246655714643951,59755.57524143358,29493.487378079764,8310.545361255212
Run_159,0.000846922568848105,3150.7477302168936,26589085.894757975,88015287.7468725
Run_160,0.11254341506227589,59774.290338230916,27760.360626160105,7386.031235658964
Run_161,0.0009476687527886018,3147.54623591091,377423.1206076184,2770558.5421424685
Run_162,0.0009476687527886018,3147.54623591091,377423.1206076184,2770558.5421424685
Run_163,0.0009476689701932583,3147.5463093257913,377425.2740431828,2770576.3944277554
Run_164,0.0009476698414165619,3147.5470281190014,377433.0466953552,2770642.747068205
Run_165,0.0009476691433218896,3147.546230038354,375838.77250542335,2770939.529751327
Run_166,7996.110037946877,52438.53053269322,157.1903092371029,23492.491540547067
Run_167,0.0009476687527886018,3147.54623591091,377423.1206076184,2770558.5421424685
Run_168,0.0013178808177248195,3472.4354375201483,763622155.3197284,4286956651.5160785
Run_169,462377.3673281202,4725.021369929661,9657.893584371619,1322960.238620221
Run_170,462377.3673279969,4725.0213697377385,9634.256002094391,1320254.1072902875
Run_171,462377.3673280992,4725.02135685227,7955.668307096561,1126076.5254917734
Run_172,462377.3546121474,4725.034840191671,9657.895744675941,1322960.240401788
Run_173,0.001325785257284489,3475.0092266778765,761075126.4176261,4288034057.4351196
Run_174,462377.3673281202,4725.021369929661,9657.893584371619,1322960.238620221
Run_175,7996.110335904459,52438.530294758995,164.69552897405154,25131.259169768084
Run_176,462377.3673281202,4725.021369929661,9657.893584371619,1322960.238620221
Run_177,834193.9684256214,6017.217169158191,3649.6990842229116,339992.81581616943
Run_178,834193.9684256214,6017.217169158191,3649.6990842229116,339992.81581616943
Run_179,834193.9684242895,6017.217169154058,3650.887758035429,340202.3984905567
Run_180,834193.9684079164,6017.217169035606,3640.634649902462,338393.48580718506
Run_181,834193.9655764669,6017.220638410592,3649.703412309954,339992.8648080049
Run_182,0.002031394240210518,3770.421578698716,3231582430.381895,13885289813.083294
Run_183,834193.9684256214,6017.217169158191,3649.6990842229116,339992.81581616943
Run_184,952.8514110113273,58914.735686185515,366.813232336804,10935.174642915263
Run_185,0.08147961735151445,47547.75683927011,99907.41573676578,568588.3079692863
Run_186,0.08147961735132517,47547.756835856264,99895.68159173844,568467.5870783484
Run_187,0.08147961735493492,47547.75684103125,99973.54615152496,569268.6774005509
Run_188,0.08147967941591598,47547.76514849503,100425.31962704759,568490.6209871852
Run_189,952.8503546572299,58914.73644145093,366.7055781392003,10914.02961357819
Run_190,0.08147961735151445,47547.75683927011,99907.41573676578,568588.3079692863
Run_191,0.0020290268497989636,3769.3754547146414,3198208463.0490847,13894225615.164635
Run_192,0.08147961735151445,47547.75683927011,99907.41573676578,568588.3079692863
Run_193,0.11177327616103591,59396.71392356782,76012.56621474243,29124.995435136017
Run_194,0.11177327616103591,59396.71392356782,76012.56621474243,29124.995435136017
