,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_94,56746.12789,8598.126312,178.5486005,16262.47561,,,,,
Run_95,151434.734,3722.527484,356.2179103,31232.80358,,,,,
Run_96,56746.12789,8598.126312,178.5486005,16262.47561,,,,,
Run_97,0.001301511,3278.364052,620878.4434,2139946.804,,,,,
Run_98,0.001263262,3267.323323,390998.5213,1506234.701,,,,,
Run_99,0.001301511,3278.364121,620879.1237,2139950.672,,,,,
Run_100,0.0013015,3278.359408,592888.7985,2080908.216,,,,,
Run_101,0.001301511,3278.364052,620878.4434,2139946.804,,,,,
Run_102,0.001334572,3301.473695,644593.7341,2127893.697,,,,,
Run_103,0.001152952,3222.765264,411625.7994,1858272.624,,,,,
Run_104,0.000941857,3184.462948,17502940.5,44353325.11,,,,,
Run_105,0.000828186,3142.65598,8856805.207,26787486.76,,,,,
Run_106,0.000822723,3141.591698,4378262.845,14399017.61,,,,,
Run_107,0.000822833,3141.641097,4935723.804,15595425.84,,,,,
Run_108,0.00082273,3141.596232,4538920.782,14738459.8,,,,,
Run_109,0.000819557,3141.346317,4289631.324,14748147.75,,,,,
Run_110,0.000939224,3184.056427,8662166.145,22315411.2,,,,,
Run_111,0.001145541,3220.729058,266656.9252,1312984.093,,,,,
Run_112,0.00082273,3141.596232,4538920.782,14738459.8,,,,,
Run_113,0.001258827,3458.398888,1100864.447,23325550.1,,,,,
Run_114,0.001312961,3471.618241,604143309.1,4064253474,,,,,
Run_115,0.001258827,3458.398902,1100864.455,23325550.21,,,,,
Run_116,0.001258827,3458.398725,1100864.341,23325548.63,,,,,
Run_117,0.001258827,3458.398888,1100864.447,23325550.1,,,,,
Run_118,0.00125986,3458.409013,1138268.783,23324983.41,,,,,
Run_119,0.001258827,3458.398888,1100864.447,23325550.1,,,,,
Run_120,0.109938417,58898.67265,76224.25636,11160.8383,,,,,
Run_121,0.110022559,58930.95429,75858.5266,10799.66994,,,,,
Run_122,0.112393105,59702.2873,43471.72413,9712.900965,,,,,
Run_123,0.112393105,59702.2873,43480.02671,9739.123521,,,,,
Run_124,0.112393105,59702.28731,43472.69668,9715.96998,,,,,
Run_125,0.112374069,59695.02229,44535.15496,10023.58393,,,,,
Run_126,0.112393105,59702.28731,43472.69668,9715.96998,,,,,
Run_127,0.001313686,3471.741725,613208264.4,4062773637,,,,,
Run_128,0.112393105,59702.28731,43472.69668,9715.96998,,,,,
Run_129,0.111572319,59525.38875,48575.4108,5217.467712,,,,,
Run_130,0.112431761,59757.17436,25369.7774,5897.373974,,,,,
Run_131,0.111572319,59525.38875,48744.89054,5412.441114,,,,,
Run_132,0.111572319,59525.38874,48431.45785,5054.494169,,,,,
Run_133,0.111572319,59525.38875,48575.4108,5217.467712,,,,,
Run_134,0.110039165,58939.51479,74868.05298,13004.77627,,,,,
Run_135,0.111461483,59499.57787,49643.63481,5551.951828,,,,,
Run_136,0.000812017,3140.742004,665666.3806,2970903.078,,,,,
Run_137,0.000821296,3174.749036,473012.1641,4187309.035,,,,,
Run_138,0.000883607,3179.815581,13028145.94,52096050.82,,,,,
Run_139,0.000883749,3179.86433,13033365.79,52118278.15,,,,,
Run_140,0.00088373,3179.858393,13033359.39,52118255.52,,,,,
Run_141,0.001012655,3210.546464,21956843.5,50325321.35,,,,,
Run_142,0.000791056,3139.190153,6768238.353,33154577.42,,,,,
Run_143,0.111684711,59485.2311,60539.44367,14687.19258,,,,,
Run_144,0.00088373,3179.858393,13033359.39,52118255.52,,,,,
