,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_94,1222064.135,5908.557051,2806.452199,246174.5059,,,,,
Run_95,1222064.135,5908.557051,2806.452199,246174.5059,,,,,
Run_96,1222064.135,5908.557051,2806.452199,246174.5059,,,,,
Run_97,0.002678696,3951.536834,2322048953,6109747868,,,,,
Run_98,0.002615694,3924.369755,980437480.8,2636501848,,,,,
Run_99,0.002680029,3951.968084,2322050612,6109752429,,,,,
Run_100,0.002621466,3924.011642,1876612760,5096565764,,,,,
Run_101,0.002676919,3950.492697,2271763556,6117874683,,,,,
Run_102,0.002698419,3954.079227,2428011946,6098337382,,,,,
Run_103,0.001954537,3719.690525,949992686.7,3054809964,,,,,
Run_104,0.002678696,3951.536834,2322048953,6109747868,,,,,
Run_105,0.001940613,3710.016652,845613440.8,2692868152,,,,,
Run_106,0.001924297,3704.017822,330662732,1136826558,,,,,
Run_107,0.001934698,3709.03799,416266455,1344476649,,,,,
Run_108,0.00192497,3704.52265,360173424.3,1189047951,,,,,
Run_109,0.00191898,3704.154064,332469898.1,1190531882,,,,,
Run_110,0.002606076,3913.951617,849152571.9,2317213821,,,,,
Run_111,0.00192487,3704.435053,352458392.6,1189809640,,,,,
Run_112,0.00192487,3704.435053,352458392.6,1189809640,,,,,
Run_113,0.001258826,3458.398484,1082632.121,23325768.83,,,,,
Run_114,0.001312823,3471.542013,600734437.9,4065186653,,,,,
Run_115,0.001258826,3458.398498,1082632.129,23325768.94,,,,,
Run_116,0.001258826,3458.398324,1082632.049,23325767.37,,,,,
Run_117,0.001258827,3458.398786,1096226.968,23325606.6,,,,,
Run_118,0.001259859,3458.40858,1118750.561,23325230.29,,,,,
Run_119,0.001258826,3458.398484,1082632.121,23325768.83,,,,,
Run_120,0.001258826,3458.398484,1082632.121,23325768.83,,,,,
Run_121,0.00125986,3458.408755,1133301.159,23325045.97,,,,,
Run_122,0.00131361,3471.710281,612328964.1,4063014983,,,,,
Run_123,0.001313952,3471.81175,612329011.9,4063015282,,,,,
Run_124,0.001313545,3471.663978,609712115.8,4063732482,,,,,
Run_125,0.001312655,3471.518545,603286102.9,4064488104,,,,,
Run_126,0.001313651,3471.722171,612328968.6,4063015030,,,,,
Run_127,0.001313651,3471.722171,612328968.6,4063015030,,,,,
Run_128,0.001313651,3471.722171,612328968.6,4063015030,,,,,
Run_129,0.00190256,3701.070065,29472903.94,127003859.6,,,,,
Run_130,0.002049669,3728.468175,1238931747,3634175050,,,,,
Run_131,0.001902775,3701.141245,29474555.72,127007847.6,,,,,
Run_132,0.001902405,3701.009001,29419785.09,126883334,,,,,
Run_133,0.001902595,3701.091142,30573758.3,126953952.3,,,,,
Run_134,0.001792527,3699.727046,11333044.45,127401312.2,,,,,
Run_135,0.002555051,3905.866643,69343257.19,233491775.8,,,,,
Run_136,0.00190256,3701.070065,29472903.94,127003859.6,,,,,
Run_137,0.002321172,3903.013052,27562470.29,234502019.8,,,,,
Run_138,0.002510996,3933.550713,1811292044,7531076677,,,,,
Run_139,0.002534672,3941.86248,1813014158,7539176655,,,,,
Run_140,0.002528747,3939.319693,1740882667,7549095822,,,,,
Run_141,0.002875477,3975.140639,3031214502,7281338654,,,,,
Run_142,0.001889277,3715.258755,741450861,3737118175,,,,,
Run_143,0.002531403,3940.851218,1813012842,7539171744,,,,,
Run_144,0.002531403,3940.851218,1813012842,7539171744,,,,,
Run_145,0.002574849,3950.604085,2164445714,8422618846,,,,,
Run_146,0.002329351,3902.983639,21033873.38,177021330.2,,,,,
Run_147,0.002569232,3948.905058,2164444340,8422614077,,,,,
Run_148,0.002574267,3950.431685,2164445628,8422618513,,,,,
Run_149,0.002572132,3949.099796,2096819002,8432825934,,,,,
