,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,,
Run_761,0.100962782,55170.14858,97658.26992,48463.96738,,,,,,
Run_762,0.109966817,58485.33513,103727.543,57639.14422,,,,,,
Run_763,0.109966817,58485.33512,103678.5721,57541.3935,,,,,,
Run_764,0.109966817,58485.33513,103742.576,57669.1566,,,,,,
Run_765,0.100425297,54877.55127,109513.543,175275.8184,,,,,,
Run_766,0.110088152,58365.54183,118278.1541,65203.10096,,,,,,
Run_767,0.109966817,58485.33513,103742.576,57669.1566,,,,,,
Run_768,0.109966817,58485.33513,103742.576,57669.1566,,,,,,
Run_769,0.110240948,59060.82941,57139.04989,7519.691009,,,,,,
Run_770,0.111057844,59325.74262,52564.98678,8050.783403,,,,,,
Run_771,0.110240948,59060.82941,57387.75107,7673.133466,,,,,,
Run_772,0.110240948,59060.8294,57037.87358,7457.385474,,,,,,
Run_773,0.110240948,59060.82941,57139.04989,7519.691009,,,,,,
Run_774,0.111218995,59435.35008,40175.14792,4397.188925,,,,,,
Run_775,0.110173434,59046.88411,53511.45618,7651.468822,,,,,,
Run_776,0.110240948,59060.82941,57139.04989,7519.691009,,,,,,
Run_777,0.11115552,59422.79662,38766.21729,4604.176217,,,,,,
Run_778,0.111638177,59559.95769,32670.08274,5047.728875,,,,,,
Run_779,0.111638177,59559.95769,32794.68861,5214.026116,,,,,,
Run_780,0.111638177,59559.95769,32782.54522,5197.745812,,,,,,
Run_781,0.110988477,59311.683,49494.21071,8450.35434,,,,,,
Run_782,0.111704843,59573.09045,33807.35941,4984.819091,,,,,,
Run_783,0.111638177,59559.95769,32782.54522,5197.745812,,,,,,
Run_784,0.111638177,59559.95769,32782.54522,5197.745812,,,,,,
Run_785,23465.7264,37471.31778,141.8660797,21073.03484,,,,,,
Run_786,21287.26754,39585.99693,156.4497653,23026.38494,,,,,,
Run_787,23465.7264,37471.31778,141.1380528,20874.90514,,,,,,
Run_788,23465.72641,37471.31778,141.8152496,21059.21513,,,,,,
Run_789,23465.7264,37471.31778,141.8660797,21073.03484,,,,,,
Run_790,0.000839076,3115.146667,118966.615,1414270.474,,,,,,
Run_791,23465.7264,37471.31778,141.8660797,21073.03484,,,,,,
Run_792,23465.7264,37471.31778,141.8660797,21073.03484,,,,,,
Run_793,0.000839077,3115.146625,118965.9263,1414262.17,,,,,,
Run_794,0.000857476,3120.711166,160064.9383,1709234.908,,,,,,
Run_795,0.000857477,3120.711122,160064.324,1709227.606,,,,,,
Run_796,0.000857477,3120.711113,160064.2084,1709226.233,,,,,,
Run_797,21287.26754,39585.99693,155.4381127,22769.28527,,,,,,
Run_798,0.000857477,3120.711113,160064.2084,1709226.233,,,,,,
Run_799,0.000857477,3120.711113,160064.2084,1709226.233,,,,,,
Run_800,0.000857477,3120.711113,160064.2084,1709226.233,,,,,,
Run_801,0.094148324,52311.71013,92784.60982,133082.8118,,,,,,
Run_802,0.095954178,52998.99832,94693.35739,134881.2518,,,,,,
Run_803,0.094148324,52311.71031,110833.6634,224837.3655,,,,,,
Run_804,0.094148324,52311.71041,117852.8545,257129.7052,,,,,,
Run_805,0.094148324,52311.71013,92784.60982,133082.8118,,,,,,
Run_806,0.078049711,45977.049,82765.61075,237575.4256,,,,,,
Run_807,0.098208525,54124.26348,74189.21358,98575.14047,,,,,,
Run_808,0.094148324,52311.71013,92784.60982,133082.8118,,,,,,
Run_809,0.085666007,49197.35985,89762.89079,389822.4951,,,,,,
Run_810,0.087993748,50117.19537,85843.69082,343288.8629,,,,,,
Run_811,0.087993748,50117.19532,81471.89714,302303.6572,,,,,,
Run_812,0.087993749,50117.19548,91655.35146,397515.3568,,,,,,
Run_813,0.099603366,54657.62938,93724.85071,221258.5599,,,,,,
Run_814,0.080919456,47116.61079,131448.2604,539173.5519,,,,,,
Run_815,0.087993749,50117.19548,91655.35146,397515.3568,,,,,,
Run_816,0.087993749,50117.19548,91655.35146,397515.3568,,,,,,
Run_817,0.001828886,3701.275483,70493383.95,480578228.6,,,,,,
Run_818,0.00184849,3703.573903,173550363.6,1006961904,,,,,,
Run_819,0.001828898,3701.279159,70493387.47,480578242.8,,,,,,
Run_820,0.001827533,3700.746459,68946853.75,475062379.4,,,,,,
Run_821,0.001828886,3701.275483,70493383.95,480578228.6,,,,,,
Run_822,832680.3019,4970.705817,1845.525571,216421.5846,,,,,,
Run_823,0.001828886,3701.275483,70493383.95,480578228.6,,,,,,
Run_824,0.000770547,3137.451705,1048306.584,7480408.16,,,,,,
Run_825,128708.7419,3830.697565,274.3873156,28857.63084,,,,,,
Run_826,128588.9759,3958.053353,282.506915,34455.41741,,,,,,
Run_827,128588.976,3958.053353,307.3935881,41296.23313,,,,,,
Run_828,128588.9759,3958.053353,284.1600821,34923.39679,,,,,,
Run_829,0.000779095,3138.126756,2124258.462,12652620.63,,,,,,
Run_830,128588.9759,3958.053353,284.1600821,34923.39679,,,,,,
Run_831,832743.886,5023.768186,1751.559101,214639.2389,,,,,,
Run_832,128588.9759,3958.053353,284.1600821,34923.39679,,,,,,
Run_833,0.000935985,3157.153672,158011.2168,1267501.095,,,,,,
Run_834,0.001036212,3187.492856,463432.5796,2632784.79,,,,,,
Run_835,0.000935985,3157.153714,158012.2323,1267509.581,,,,,,
Run_836,0.000935985,3157.153709,158012.0978,1267508.446,,,,,,
Run_837,0.000935985,3157.153672,158011.2168,1267501.095,,,,,,
Run_838,58930.80576,6525.79473,41.36673108,1148.639323,,,,,,
Run_839,0.000831608,3112.880231,82291.37494,1083521.31,,,,,,
Run_840,0.00078854,3138.873924,2732676.173,14157314.99,,,,,,
Run_841,104000.4911,3241.390929,26.43289882,581.8523821,,,,,,
Run_842,103863.426,3370.335606,22.77522851,496.0328236,,,,,,
Run_843,103863.426,3370.335606,22.79031847,497.1733117,,,,,,
Run_844,103863.426,3370.335606,22.86700931,502.9684463,,,,,,
Run_845,0.000695545,3091.019857,4119837.383,25418933.25,,,,,,
Run_846,130214.3978,3489.102206,55.72767959,1568.961216,,,,,,
Run_847,51080.8415,11974.13107,20.25091701,446.765106,,,,,,
Run_848,103863.426,3370.335606,22.86700931,502.9684463,,,,,,
Run_849,0.003889533,4176.568771,10530665113,23282265644,,,,,,
Run_850,0.002656258,3913.116348,342623895.7,746669776.7,,,,,,
Run_851,0.003891992,4177.328117,10530666073,23282268054,,,,,,
Run_852,0.003906525,4181.752427,10530670200,23282278306,,,,,,
Run_853,0.003889533,4176.568771,10530665113,23282265644,,,,,,
Run_854,0.002902707,4075.127965,8175962919,24942648902,,,,,,
Run_855,0.002669151,3829.63582,4381735581,11329866750,,,,,,
Run_856,0.112688235,59836.03514,8196.242344,5878.149102,,,,,,
Run_857,0.112588358,59790.34065,21710.98216,6956.817562,,,,,,
Run_858,0.111841202,59586.26002,38557.26588,6695.272247,,,,,,
Run_859,0.111841202,59586.26002,38526.51333,6647.304328,,,,,,
Run_860,0.111841202,59586.26002,38560.49556,6700.319645,,,,,,
Run_861,0.112197252,59722.18436,16799.37812,4498.594008,,,,,,
Run_862,0.111776662,59573.44534,37019.67633,7043.786527,,,,,,
Run_863,0.001885304,3702.143049,87606201.68,395193417.1,,,,,,
Run_864,0.111841202,59586.26002,38560.49556,6700.319645,,,,,,
Run_865,2004.252188,57968.96614,293.8307504,9935.6613,,,,,,
Run_866,8711.084221,51159.83351,104.0909137,3487.830531,,,,,,
Run_867,2004.252188,57968.96614,294.8929905,10054.84523,,,,,,
Run_868,2004.252188,57968.96614,290.5407205,9566.352617,,,,,,
Run_869,2004.252188,57968.96614,293.8307504,9935.6613,,,,,,
Run_870,0.065536034,40869.48286,121162.0268,631023.0412,,,,,,
Run_871,2004.252188,57968.96614,293.8307504,9935.6613,,,,,,
Run_872,1229519.022,7874.603771,5636.785707,206369.3728,,,,,,
Run_873,0.00261354,3957.005821,2565419832,9093697139,,,,,,
Run_874,0.002287938,3902.21134,2654348.281,33369260.85,,,,,,
Run_875,0.00228796,3902.218422,2654573.122,33370227.31,,,,,,
Run_876,0.002287952,3902.216149,2654569.715,33370203.4,,,,,,
Run_877,1224219.322,6338.156846,3374.742461,116689.6056,,,,,,
Run_878,0.002287952,3902.216149,2654569.715,33370203.4,,,,,,
Run_879,0.013728005,15853.16808,30909.43154,225687.1405,,,,,,
Run_880,0.002287952,3902.216149,2654569.715,33370203.4,,,,,,
Run_881,0.000687983,3090.363784,139889.1377,1797537.63,,,,,,
Run_882,0.000697959,3091.145493,1502099.215,9598970.395,,,,,,
Run_883,0.000687982,3090.36287,57148.51624,1203620.45,,,,,,
Run_884,0.000687987,3090.366167,187199.4832,2014566.172,,,,,,
Run_885,0.000687983,3090.363784,139889.1377,1797537.63,,,,,,
Run_886,0.000729057,3105.754891,338539.525,1791248.765,,,,,,
Run_887,0.000787445,3138.739065,384239.7629,2916621.958,,,,,,
Run_888,0.000826194,3111.252821,27519.3266,507149.7965,,,,,,
Run_889,0.001318859,3473.810381,103860.906,559308.6986,,,,,,
Run_890,0.003387909,6465.039987,258836.644,1239539.029,,,,,,
Run_891,0.003387901,6465.036073,141768.1834,943764.3627,,,,,,
Run_892,0.003387909,6465.039928,258830.5668,1239516.6,,,,,,
Run_893,0.001076958,3199.584502,289033.5414,1606692.454,,,,,,
Run_894,0.004035664,7494.885349,169506.0042,1143676.653,,,,,,
Run_895,0.001126635,3286.826707,9847861.601,20764651.42,,,,,,
Run_896,0.003387909,6465.039928,258830.5668,1239516.6,,,,,,
Run_897,0.002353767,5474.299241,49885.81871,386985.7388,,,,,,
Run_898,0.020664182,19172.05596,332343.832,1569347.297,,,,,,
Run_899,0.002353768,5474.299311,49909.14686,387077.6415,,,,,,
Run_900,0.002353767,5474.298887,42308.49714,361709.8334,,,,,,
Run_901,0.002353767,5474.299241,49885.81871,386985.7388,,,,,,
Run_902,0.000839562,3115.35804,23560.60108,407904.3084,,,,,,
Run_903,0.00214367,4818.604501,69255.25961,403865.7935,,,,,,
Run_904,0.001445495,3469.221849,8633098.871,28006802.15,,,,,,
Run_905,0.001865017,3700.332056,11638662.7,71573331.42,,,,,,
Run_906,0.001939988,3711.946774,1369981645,5054758976,,,,,,
Run_907,0.002019577,3753.784906,2590235378,8797878174,,,,,,
Run_908,0.001979445,3738.39936,2570390348,8707225947,,,,,,
Run_909,0.003877031,3904.034459,4879430679,7900309629,,,,,,
Run_910,0.001311104,3467.19517,578165018.7,2739441728,,,,,,
Run_911,0.001170478,3226.567612,692043.1957,2904934.501,,,,,,
Run_912,0.001979445,3738.39936,2570390348,8707225947,,,,,,
Run_913,0.002566103,3935.822658,1916670289,6709460832,,,,,,
Run_914,0.002463725,3908.389884,295580048.1,1250970816,,,,,,
Run_915,0.002571939,3938.130772,1918281657,6715783853,,,,,,
Run_916,0.002592551,3945.035762,1918569037,6716972217,,,,,,
Run_917,0.002566103,3935.822658,1916670289,6709460832,,,,,,
Run_918,0.002509971,3930.748787,1648353545,6740833698,,,,,,
Run_919,0.001292666,3461.431278,170278883.7,1085306216,,,,,,
Run_920,0.001125617,3224.529383,482709.771,2240005.926,,,,,,
Run_921,0.000839085,3115.143356,138138.7558,1593470.724,,,,,,
Run_922,0.000772789,3094.550931,50510.84755,877427.8889,,,,,,
Run_923,0.000772789,3094.55083,50506.3885,877379.3871,,,,,,
Run_924,0.000772789,3094.550935,50510.94853,877429.2831,,,,,,
Run_925,0.000823983,3110.551964,60606.76447,876776.2693,,,,,,
Run_926,0.000896849,3152.960552,137305.4788,1120988.412,,,,,,
Run_927,0.001274318,3458.977005,22903646.11,227464464.4,,,,,,
Run_928,0.000772789,3094.550935,50510.94853,877429.2831,,,,,,
Run_929,0.112306234,59673.77183,44605.74665,10370.50993,,,,,,
Run_930,0.109854172,58869.15467,70399.40165,11039.89569,,,,,,
Run_931,0.112306233,59673.77182,44638.17907,10457.10745,,,,,,
Run_932,0.112306234,59673.77183,44608.12643,10376.84721,,,,,,
Run_933,0.112306234,59673.77183,44605.74665,10370.50993,,,,,,
Run_934,0.112496969,59746.5427,33213.21794,7625.001618,,,,,,
Run_935,0.112233876,59659.26425,41499.28235,11616.99595,,,,,,
Run_936,0.000693192,3090.853512,4839881.232,32292317.21,,,,,,
Run_937,0.00081366,3141.080273,17262118.62,67731718.83,,,,,,
Run_938,0.000759139,3136.537102,141732.9424,1655648.192,,,,,,
Run_939,0.000759139,3136.537159,141732.9924,1655648.612,,,,,,
Run_940,0.000759139,3136.537161,141732.9931,1655648.622,,,,,,
Run_941,0.000741631,3135.166195,102117.9648,1656019.361,,,,,,
Run_942,0.000675803,3089.413401,54613.94369,1070816.736,,,,,,
Run_943,0.110534297,59152.45625,56697.84187,8340.385436,,,,,,
Run_944,0.000759139,3136.537161,141732.9931,1655648.622,,,,,,
Run_945,0.000810015,3140.522198,2623552.339,10412675.6,,,,,,
Run_946,0.000819646,3141.359903,8182085.693,27799369.73,,,,,,
Run_947,0.000810012,3140.520928,2623550.754,10412670.91,,,,,,
Run_948,0.000810016,3140.522415,2623552.49,10412676.15,,,,,,
Run_949,0.000810015,3140.522198,2623552.339,10412675.6,,,,,,
Run_950,0.005618421,4815.56514,18452029.93,9212744.424,,,,,,
Run_951,0.000918623,3182.25321,5075729.283,15607378.85,,,,,,
Run_952,0.075664426,45164.71846,94959.85318,304955.5557,,,,,,
Run_953,0.113417805,59643.70858,74361.18206,12579.65729,,,,,,
Run_954,0.113858414,59767.99544,60544.28964,14135.37635,,,,,,
Run_955,0.113858414,59767.99544,60493.41109,13991.05621,,,,,,
Run_956,0.113858414,59767.99544,60505.82465,14026.23353,,,,,,
Run_957,0.083148555,48032.64003,124041.3257,372562.1856,,,,,,
Run_958,0.11332449,59742.11869,50998.87756,12614.03253,,,,,,
Run_959,0.007809361,5494.821135,75287178.05,36180495.94,,,,,,
Run_960,0.113858414,59767.99544,60505.82465,14026.23353,,,,,,
Run_961,0.112125392,59684.26131,26724.71972,4362.179333,,,,,,
Run_962,0.112071201,59670.18651,27779.18761,4318.755849,,,,,,
Run_963,0.112125392,59684.26131,26765.65861,4453.266397,,,,,,
Run_964,0.112125392,59684.26131,26787.83664,4503.053517,,,,,,
Run_965,0.112125392,59684.26131,26724.71972,4362.179333,,,,,,
Run_966,25.07564842,59769.94853,635.1787465,3132.746468,,,,,,
Run_967,0.112125392,59684.26131,26724.71972,4362.179333,,,,,,
Run_968,0.087802559,50099.07067,84199.57811,151476.2708,,,,,,
Run_969,2471.241053,57321.80669,234.4708567,5425.433173,,,,,,
Run_970,2626.810015,57159.35664,224.7424963,5179.527706,,,,,,
Run_971,2626.810015,57159.35664,224.0340111,5123.854382,,,,,,
Run_972,2626.810015,57159.35664,225.0983153,5207.486654,,,,,,
Run_973,0.086392857,49541.58455,83783.86634,153096.679,,,,,,
Run_974,2626.810015,57159.35664,225.0983153,5207.486654,,,,,,
Run_975,26.69846026,59761.4503,645.3835495,3189.930119,,,,,,
Run_976,2626.810015,57159.35664,225.0983153,5207.486654,,,,,,
Run_977,0.001109528,3219.651938,619658.0781,2896218.19,,,,,,
Run_978,0.001102234,3217.453245,583598.9223,2767289.275,,,,,,
Run_979,0.001109528,3219.651724,619655.17,2896197.953,,,,,,
Run_980,0.001109528,3219.651681,619654.572,2896193.799,,,,,,
Run_981,0.001109528,3219.651938,619658.0781,2896218.19,,,,,,
Run_982,0.001243662,3259.377465,763731.2187,2877685.323,,,,,,
Run_983,0.001109528,3219.651938,619658.0781,2896218.19,,,,,,
Run_984,0.002636678,3973.708936,3216713004,12069431169,,,,,,
Run_985,0.002701388,3980.559523,3894512578,11972027789,,,,,,
Run_986,0.002704092,3978.769108,3521826943,10801937751,,,,,,
Run_987,0.00270537,3979.158855,3521827288,10801938952,,,,,,
Run_988,0.002686727,3973.201021,3521805489,10801863714,,,,,,
Run_989,0.002599618,3960.111579,2896703422,10888385187,,,,,,
Run_990,0.002686727,3973.201021,3521805489,10801863714,,,,,,
Run_991,0.0012381,3257.763984,722253.4361,2749953.924,,,,,,
Run_992,0.002686727,3973.201021,3521805489,10801863714,,,,,,
Run_993,0.06779526,41833.23232,110900.4796,456719.4479,,,,,,
Run_994,0.084379419,48485.3107,138298.4365,543345.9381,,,,,,
Run_995,0.06779526,41833.23228,109584.0689,449157.8486,,,,,,
Run_996,0.06779526,41833.23232,111061.2408,457646.3664,,,,,,
Run_997,0.06779526,41833.23232,110900.4796,456719.4479,,,,,,
Run_998,0.052291072,35235.81899,99244.44194,590257.3059,,,,,,
Run_999,0.071216383,43333.32119,96488.20521,415850.0321,,,,,,
Run_1000,0.112069058,59643.59925,35021.9544,8137.442497,,,,,,
Run_1001,0.111888274,59564.31887,45809.19146,9870.397885,,,,,,
Run_1002,0.112414052,59721.57739,34437.47909,9595.145064,,,,,,
Run_1003,0.112414052,59721.57739,34361.62047,9305.739161,,,,,,
Run_1004,0.112414052,59721.57739,34375.81288,9359.34486,,,,,,
Run_1005,0.112549844,59773.33042,25656.53278,7341.64334,,,,,,
Run_1006,0.112372446,59713.25501,33074.12196,10043.03929,,,,,,
Run_1007,0.075326558,44970.52304,113149.5853,664027.4732,,,,,,
Run_1008,0.112414052,59721.57739,34375.81288,9359.34486,,,,,,
Run_1009,129252.1455,3324.384383,245.1584452,10031.3782,,,,,,
Run_1010,128866.0565,3830.091086,387.8852825,42234.12126,,,,,,
Run_1011,129252.1455,3324.384383,245.071455,10019.67772,,,,,,
Run_1012,129252.1455,3324.384383,245.186716,10035.18063,,,,,,
Run_1013,129252.1455,3324.384383,245.1584452,10031.3782,,,,,,
Run_1014,0.000792131,3139.091069,52455.71201,530603.6889,,,,,,
Run_1015,151978.8744,3421.511259,318.3779427,13213.09479,,,,,,
Run_1016,61813.39522,3580.551359,171.9928609,7010.019995,,,,,,
Run_1017,0.001043838,3199.726451,20430.22548,210275.2523,,,,,,
Run_1018,0.001484124,3503.440013,447463.285,1486458.803,,,,,,
Run_1019,0.001484124,3503.439996,447463.018,1486457.902,,,,,,
Run_1020,0.001484124,3503.44,447463.0925,1486458.153,,,,,,
Run_1021,52843.46926,12028.02386,227.5191703,28397.85222,,,,,,
Run_1022,0.00129954,3439.057286,296679.175,1323635.1,,,,,,
Run_1023,0.000983255,3197.128259,11652695.02,25352299.76,,,,,,
Run_1024,0.001484124,3503.44,447463.0925,1486458.153,,,,,,
Run_1025,0.001277273,3458.54911,276019.185,4561449.269,,,,,,
Run_1026,0.001299253,3459.908042,68040111.14,327210160.1,,,,,,
Run_1027,0.001277275,3458.54993,276145.7837,4562075.694,,,,,,
Run_1028,0.001277272,3458.549041,275936.2026,4561042.051,,,,,,
Run_1029,0.001277273,3458.54911,276019.185,4561449.269,,,,,,
Run_1030,0.001251607,3458.314516,132764.8771,4562087.919,,,,,,
Run_1031,0.001845043,3700.014807,1047368.899,10306126.37,,,,,,
Run_1032,0.001277273,3458.54911,276019.185,4561449.269,,,,,,
Run_1033,0.001758996,3699.238257,476503.9431,10310655.69,,,,,,
Run_1034,0.001862903,3703.207347,184717025.1,953932328.8,,,,,,
Run_1035,0.001865247,3704.009067,184829174.5,954339012.2,,,,,,
Run_1036,0.001865224,3704.002303,184829170.5,954338995.8,,,,,,
Run_1037,0.001931384,3706.971381,295612483.9,948066630.7,,,,,,
Run_1038,0.001282966,3459.446313,41779991.5,328399211.6,,,,,,
Run_1039,0.001865224,3704.002303,184829170.5,954338995.8,,,,,,
Run_1040,0.001865224,3704.002303,184829170.5,954338995.8,,,,,,
Run_1041,0.001008611,3188.731979,289939.181,1714830.266,,,,,,
Run_1042,0.001143162,3229.719202,870138.801,3840627.065,,,,,,
Run_1043,0.001008611,3188.731961,289938.8032,1714827.44,,,,,,
Run_1044,0.001008611,3188.731977,289939.1291,1714829.888,,,,,,
Run_1045,0.001008611,3188.731979,289939.181,1714830.266,,,,,,
Run_1046,0.00265969,5216.749063,346537.5129,1284975.256,,,,,,
Run_1047,0.001008611,3188.731979,289939.181,1714830.266,,,,,,
Run_1048,0.049574452,34035.18666,98526.62555,629726.4826,,,,,,
Run_1049,0.103797995,56022.62104,122212.3776,119292.4403,,,,,,
Run_1050,0.107917368,57528.981,125083.7892,127448.393,,,,,,
Run_1051,0.107917368,57528.98099,125032.017,127293.402,,,,,,
Run_1052,0.107917368,57528.98099,125021.7405,127262.6383,,,,,,
Run_1053,0.067132212,41508.58245,134168.4449,787839.2383,,,,,,
Run_1054,0.107917368,57528.98099,125021.7405,127262.6383,,,,,,
Run_1055,0.00506003,7975.604214,620894.0939,2262515.173,,,,,,
Run_1056,0.107917368,57528.98099,125021.7405,127262.6383,,,,,,
Run_1057,0.00069874,3091.262546,4167120.681,23161986.77,,,,,,
Run_1058,0.000697406,3091.138779,2917350.627,16888269.29,,,,,,
Run_1059,0.000698725,3091.257584,4166970.306,23161054.73,,,,,,
Run_1060,0.000698756,3091.267984,4167134.637,23162057.78,,,,,,
Run_1061,0.00069874,3091.262546,4167120.681,23161986.77,,,,,,
Run_1062,103859.5264,3373.892628,22.89414422,488.0645586,,,,,,
Run_1063,0.000814161,3141.012538,12652068.81,47666947.56,,,,,,
Run_1064,0.000922234,3139.909343,240447.1031,1999091.388,,,,,,
Run_1065,54549.62238,10216.76082,33.55370123,947.0086498,,,,,,
Run_1066,55791.97632,9148.932387,36.06664968,1031.702188,,,,,,
Run_1067,55791.97632,9148.932387,34.96451404,925.1376684,,,,,,
Run_1068,55791.97632,9148.932387,35.86693635,1012.417781,,,,,,
Run_1069,0.001066567,3196.503377,375381.0434,2054189.357,,,,,,
Run_1070,52389.44452,10781.10809,22.10389505,487.5966345,,,,,,
Run_1071,130259.3502,3447.326528,57.95981564,1631.303818,,,,,,
Run_1072,55791.97632,9148.932387,35.86693635,1012.417781,,,,,,
Run_1073,1625.923441,58216.08401,196.5734673,5893.677243,,,,,,
Run_1074,2180.172915,57634.92268,157.5110102,4706.13209,,,,,,
Run_1075,1625.923441,58216.08401,196.5125011,5887.493244,,,,,,
Run_1076,1625.923441,58216.08401,195.7708218,5812.256505,,,,,,
Run_1077,1625.923441,58216.08401,196.5734673,5893.677243,,,,,,
Run_1078,0.06297439,39931.76099,82104.18229,304850.3483,,,,,,
Run_1079,1346.462896,58448.12451,232.8802194,5462.680583,,,,,,
Run_1080,13.52854847,59761.87867,666.3756809,3721.021785,,,,,,
Run_1081,0.111855864,59579.19078,43013.87537,6110.557744,,,,,,
Run_1082,0.111483212,59469.23115,49017.42928,6010.249291,,,,,,
Run_1083,0.111483212,59469.23115,49101.67756,6082.680459,,,,,,
Run_1084,0.111483212,59469.23115,48993.85962,5990.046285,,,,,,
Run_1085,18.23738905,59744.38047,981.3085875,2853.605328,,,,,,
Run_1086,0.111362376,59445.23789,45563.53394,6409.189147,,,,,,
Run_1087,0.059104166,38268.6652,65337.92412,233201.836,,,,,,
Run_1088,0.111483212,59469.23115,48993.85962,5990.046285,,,,,,
Run_1089,59927.40349,5723.317221,43.68006198,1253.766207,,,,,,
Run_1090,58094.23167,7210.948343,40.47867793,1162.737479,,,,,,
Run_1091,59927.40349,5723.317221,42.84798136,1172.931977,,,,,,
Run_1092,59927.40349,5723.317221,43.67011722,1252.800802,,,,,,
Run_1093,59927.40349,5723.317221,43.68006198,1253.766207,,,,,,
Run_1094,0.000977106,3169.787004,144394.3955,1096832.13,,,,,,
Run_1095,59927.40349,5723.317221,43.68006198,1253.766207,,,,,,
Run_1096,59927.40349,5723.317221,43.68006198,1253.766207,,,,,,
Run_1097,0.000977106,3169.786809,144389.1789,1096794.204,,,,,,
Run_1098,0.001028488,3185.238528,254984.5603,1581278.656,,,,,,
Run_1099,0.001028487,3185.238205,254978.396,1581235.331,,,,,,
Run_1100,0.001028487,3185.238187,254977.9693,1581232.553,,,,,,
Run_1101,58094.23167,7210.948343,39.61904471,1079.651352,,,,,,
Run_1102,0.001028487,3185.238187,254977.9693,1581232.553,,,,,,
Run_1103,0.001028487,3185.238187,254977.9693,1581232.553,,,,,,
Run_1104,0.001028487,3185.238187,254977.9693,1581232.553,,,,,,
Run_1105,0.112520643,59775.98173,21699.93454,7466.10225,,,,,,
Run_1106,0.11044063,59167.88426,49195.38468,5703.845103,,,,,,
Run_1107,0.112520643,59775.98173,21692.21082,7411.799058,,,,,,
Run_1108,0.112520643,59775.98173,21698.73366,7457.641801,,,,,,
Run_1109,0.112520643,59775.98173,21699.93454,7466.10225,,,,,,
Run_1110,4.068770038,59852.53701,587.900413,5450.349426,,,,,,
Run_1111,0.112520643,59775.98173,21699.93454,7466.10225,,,,,,
Run_1112,0.002868928,4052.340873,6853476525,20410215464,,,,,,
Run_1113,1224489.274,6771.382688,4756.452783,751793.8822,,,,,,
Run_1114,1223367.758,5770.593933,2602.087528,130001.9976,,,,,,
Run_1115,1223367.758,5770.593933,2593.792822,128673.619,,,,,,
Run_1116,1223367.758,5770.593933,2591.318749,128277.2796,,,,,,
Run_1117,0.002375494,3903.001468,3377700.035,28650781.39,,,,,,
Run_1118,1223367.758,5770.593933,2591.318749,128277.2796,,,,,,
Run_1119,24.4706284,59638.74501,835.3616002,2306.661298,,,,,,
Run_1120,1223367.758,5770.593933,2591.318749,128277.2796,,,,,,
Run_1121,0.001294032,3462.132814,174466677,1127030976,,,,,,
Run_1122,0.001277061,3458.804136,13861100.94,133494850,,,,,,
Run_1123,0.001294682,3462.33298,174466923.4,1127032313,,,,,,
Run_1124,0.001290486,3460.612489,164273033.3,1076288124,,,,,,
Run_1125,0.001294032,3462.132814,174466677,1127030976,,,,,,
Run_1126,0.001308472,3463.893186,253882228.9,1122058430,,,,,,
Run_1127,0.001294032,3462.132814,174466677,1127030976,,,,,,
Run_1128,0.0736366,44341.22591,84396.30414,468479.5489,,,,,,
Run_1129,0.096687828,53547.29822,92636.22716,202762.7784,,,,,,
Run_1130,0.084678208,48848.68857,80291.61794,166973.8228,,,,,,
Run_1131,0.084678208,48848.68865,83924.02781,187189.4509,,,,,,
Run_1132,0.084678208,48848.68863,83075.87705,182444.9393,,,,,,
Run_1133,0.052439984,35350.53053,63391.49829,367393.0976,,,,,,
Run_1134,0.084678208,48848.68863,83075.87705,182444.9393,,,,,,
Run_1135,0.001294492,3459.117844,22922661.45,133209619.3,,,,,,
Run_1136,0.084678208,48848.68863,83075.87705,182444.9393,,,,,,
Run_1137,0.096332068,53377.62696,96031.10252,74393.26267,,,,,,
Run_1138,0.108577549,57948.7147,106179.1208,87836.41019,,,,,,
Run_1139,0.096332068,53377.62693,94922.32644,71991.64546,,,,,,
Run_1140,0.096332068,53377.62698,96815.00839,76092.9396,,,,,,
Run_1141,0.096332068,53377.62696,96031.10252,74393.26267,,,,,,
Run_1142,0.02185924,20633.4716,40320.75438,330420.8372,,,,,,
Run_1143,0.095046083,52742.57258,106695.7562,82841.4644,,,,,,
Run_1144,0.000842535,3148.07994,679816.2506,2169540.876,,,,,,
Run_1145,0.00082046,3174.59133,316227.7502,3011363.5,,,,,,
Run_1146,0.000901546,3181.28969,22507696.81,82537733.7,,,,,,
Run_1147,0.000901289,3181.203534,22502633.48,82513737.98,,,,,,
Run_1148,0.00090151,3181.278715,22507688.62,82537707.52,,,,,,
Run_1149,0.00165423,3498.03354,45009264.58,75011037.4,,,,,,
Run_1150,0.000800279,3139.942677,11518488.85,51561581.89,,,,,,
Run_1151,0.06186308,39315.10427,124119.0182,753785.4413,,,,,,
Run_1152,0.00090151,3181.278715,22507688.62,82537707.52,,,,,,
Run_1153,0.000759759,3099.761406,36845.87387,599009.9543,,,,,,
Run_1154,0.000939992,3158.362566,247859.4565,1816535.423,,,,,,
Run_1155,0.000759759,3099.761214,36174.2967,596113.081,,,,,,
Run_1156,0.000759759,3099.76133,36835.90645,598946.5233,,,,,,
Run_1157,0.000759759,3099.761406,36845.87387,599009.9543,,,,,,
